Path to each video,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM1,1,1,1,1,NO WORM,6255,27562,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T190805_SmallPatches_C2-CAM6,1,1,1,1,NO WORM,1588,33626,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM7,1,1,1,1,NO WORM,6662,4872,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM6,1,1,1,1,NO WORM,3991,31033,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM7,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM5,1,0,1,1,NO WORM,293,1153,33511,0.9586348942987098,2+ worms
Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM1,1,1,1,1,NO WORM,12135,22887,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM7,1,1,1,1,NO WORM,6159,28948,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM8,1,1,1,1,NO WORM,8919,25983,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM5,1,1,1,1,NO WORM,232,34680,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM6,1,1,1,1,NO WORM,1472,33629,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM5,1,0,1,1,NO WORM,622,7732,26822,0.7625085285421879,2+ worms
Documents/PTUT/Minipatches_light_20260116/20221122T192231_SmallPatches_C2-CAM2,1,1,1,1,NO WORM,3865,31358,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM2,1,1,1,1,NO WORM,323,34698,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM1,1,1,1,1,NO WORM,5966,29008,0,0.0,1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM6,1,0,1,1,NO WORM,16998,8147,1,3.9767756303189374e-05,1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM2,1,1,1,1,NO WORM,13923,20675,0,0.0,1 worm clean
