Folder Path,traj.csv exists?,foodpatches_reviewed.csv exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video,proportion of frames with multiple worms after filtering
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM1,1,1,1,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221120T190805_SmallPatches_C2-CAM6,1,1,1,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM7,1,1,1,0,OK,6662,4872,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM6,1,1,1,0,OK,3991,31033,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM7,0,1,0,0,WEIRD,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM5,1,1,0,0,WEIRD,293,1153,33511,0.9586348942987098,2+ worms,0.9586348942987098
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM1,1,1,1,0,OK,12135,22887,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM7,1,1,1,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM8,1,1,1,0,OK,8919,25983,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM5,1,1,1,0,OK,232,34680,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM6,1,1,1,0,OK,1472,33629,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM5,1,1,0,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221122T192231_SmallPatches_C2-CAM2,1,1,1,0,OK,3865,31358,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM2,1,1,1,0,OK,323,34698,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM1,1,1,1,0,OK,5966,29008,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM6,1,1,0,0,WEIRD,16998,8147,1,3.9767756303189374e-05,1 worm with errors,3.9767756303189374e-05
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM2,1,1,1,0,OK,13923,20675,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM7,0,1,0,0,WEIRD,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/perfect_heatmaps,0,0,0,0,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM8,1,1,1,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM1,0,1,0,0,WEIRD,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM2,1,1,1,0,OK,1568,33341,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM6,1,1,1,0,OK,417,34683,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM5,1,1,1,0,OK,3015,31930,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM1,1,1,1,0,OK,10730,24365,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM7,1,1,1,0,OK,1171,1994,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM6,1,1,0,0,WEIRD,241,4396,30282,0.8672069646897105,2+ worms,0.8672069646897105
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM8,1,1,1,1,NO WORM,0,0,0,0.0,0 worms,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM1,1,1,1,0,OK,312,33146,0,0.0,1 worm clean,0.0
/Users/noursaad/Desktop/PTUT/Minipatches_light_20260116/20221011T112304_SmallPatches_C4-CAM4,1,1,0,0,WEIRD,5942,14455,12208,0.3744211010581199,2+ worms,0.3744211010581199
